epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,28.314,2.9424,7.89007,0.70336,4.65262,2.471,0.0098,0.03571,0.00044,4e-05,0,0,0,0,2.46591,8.13612,0.6855,3.92335,1.89655,6e-05,6e-05,6e-05
2,34.7415,2.28735,7.38453,0.69439,3.64053,1.91989,0.15254,0.25,0.13202,0.07304,0,0,0,0,1.84096,8.03968,0.68503,2.54353,1.43704,0.000138614,0.000138614,0.000138614
3,38.9343,1.72931,7.47878,0.69667,2.08383,1.51384,0.42356,0.21429,0.28114,0.15034,0,0,0,0,1.41297,7.94896,0.68065,4.6953,1.25843,0.000215644,0.000215644,0.000215644
4,43.765,1.375,6.45241,0.6694,1.38868,1.22819,0.41156,0.71429,0.54537,0.25972,0,0,0,0,1.38816,7.71072,0.6736,5.29589,1.28575,0.00029109,0.00029109,0.00029109
5,48.4004,1.38041,5.73348,0.64993,1.32082,1.21676,0.51929,0.53571,0.61094,0.32981,0,0,0,0,1.51493,7.52031,0.66701,2.81014,1.37912,0.000364952,0.000364952,0.000364952
6,54.2223,1.37611,5.09885,0.63694,1.07664,1.14611,0.60719,0.66276,0.67956,0.39589,0,0,0,0,1.49596,7.37998,0.65908,2.09578,1.3288,0.00043723,0.00043723,0.00043723
7,58.9468,1.32298,4.63607,0.64041,0.9883,1.16584,0.71556,0.64286,0.71113,0.38763,0,0,0,0,1.5528,7.20717,0.65093,1.91131,1.30681,0.000507924,0.000507924,0.000507924
8,64.3227,1.33844,4.32631,0.65049,0.97013,1.1498,0.91141,0.73525,0.7894,0.46613,0.00178,0.03571,0.00015,1e-05,1.39679,6.97962,0.64237,1.35815,1.26943,0.000577034,0.000577034,0.000577034
9,69.8387,1.20356,3.66788,0.64102,0.82772,1.12575,0.79856,0.71429,0.71612,0.49053,0.01272,0.03571,0.00051,5e-05,1.30939,6.58144,0.63622,1.84884,1.21636,0.00064456,0.00064456,0.00064456
10,75.2385,1.25476,3.74177,0.62243,0.86628,1.11441,0.71995,0.71429,0.7192,0.45226,0.0672,0.07143,0.00859,0.00098,1.44422,6.48313,0.62467,2.78195,1.30069,0.000710502,0.000710502,0.000710502
