epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,15.5333,1.65851,5.73354,0.66446,1.85133,1.42564,0.83634,0.8125,0.83499,0.5456,0.19673,0.19531,0.04637,0.00921,1.16913,5.89681,0.60864,2.16177,1.05286,0.000651852,0.000651852,0.000651852
2,26.3152,1.39727,2.72482,0.61027,1.07442,1.24093,0.92927,0.6875,0.80261,0.55931,0.86948,0.72861,0.81935,0.6129,1.21964,2.52454,0.48076,1.38341,1.12949,0.00131417,0.00131417,0.00131417
3,34.5094,1.32043,1.87199,0.56953,1.02409,1.2104,0.88544,0.76562,0.78724,0.57043,0.86106,0.82309,0.81569,0.64407,1.08694,1.5373,0.37557,1.24857,1.10913,0.00197208,0.00197208,0.00197208
4,47.1516,1.29449,1.48636,0.54806,0.9706,1.19853,0.92903,0.81821,0.83166,0.59019,0.92858,0.86719,0.8817,0.65318,1.08999,1.4309,0.33484,0.8536,1.10417,0.0019802,0.0019802,0.0019802
5,58.0208,1.27953,1.32227,0.54004,0.95237,1.20621,0.9379,0.77344,0.84453,0.61007,0.91367,0.82031,0.90044,0.80909,1.06958,1.23599,0.32248,0.84816,1.05903,0.0019736,0.0019736,0.0019736
6,71.1097,1.25488,1.17552,0.52635,0.92148,1.18352,0.88401,0.83594,0.84784,0.53053,0.93203,0.88281,0.89128,0.75603,1.21645,1.35345,0.31003,0.7705,1.1165,0.001967,0.001967,0.001967
7,79.4178,1.231,1.07376,0.51977,0.9026,1.1652,0.93851,0.83469,0.8537,0.57141,0.92204,0.90625,0.93961,0.84678,1.25075,0.89887,0.27457,0.96368,1.16176,0.0019604,0.0019604,0.0019604
8,90.6825,1.19477,1.02297,0.49846,0.89871,1.15718,0.96695,0.8125,0.86267,0.64829,0.95579,0.84457,0.90816,0.79694,1.00544,1.05687,0.25739,0.7489,1.03353,0.0019538,0.0019538,0.0019538
9,101.205,1.20454,1.00009,0.49094,0.86653,1.1675,0.96507,0.82812,0.87119,0.63416,0.96773,0.85156,0.92777,0.8665,0.96099,0.91473,0.25284,0.62948,1.00923,0.0019472,0.0019472,0.0019472
10,110.141,1.19309,0.95471,0.47853,0.97691,1.16268,0.93487,0.78505,0.83061,0.58437,0.93546,0.90584,0.91481,0.81769,1.17122,0.91433,0.23689,0.82898,1.10532,0.0019406,0.0019406,0.0019406
11,121.671,1.13526,0.84092,0.4435,0.84365,1.12892,0.93882,0.84375,0.86092,0.6384,0.98778,0.89062,0.94021,0.85865,1.08553,0.80473,0.20675,0.71544,1.06057,0.001934,0.001934,0.001934
12,132.258,1.12339,0.88004,0.44188,0.82952,1.11902,0.96301,0.81368,0.86774,0.60544,0.97495,0.85156,0.93946,0.85057,1.10671,0.77458,0.20044,0.67933,1.07329,0.0019274,0.0019274,0.0019274
13,141.162,1.15516,0.88311,0.43405,0.86723,1.14287,0.94462,0.83594,0.85053,0.5849,0.96706,0.91756,0.92673,0.86366,1.21564,0.82834,0.21122,0.80584,1.10788,0.0019208,0.0019208,0.0019208
14,150.878,1.12884,0.80652,0.41972,0.80067,1.12771,0.9637,0.82973,0.8641,0.64019,0.94908,0.87378,0.93309,0.88525,1.08277,0.81581,0.19314,0.70119,1.05446,0.0019142,0.0019142,0.0019142
15,161.904,1.08848,0.75509,0.41289,0.77693,1.10532,0.9475,0.82812,0.86585,0.65142,0.9514,0.90625,0.936,0.85672,1.01444,0.86199,0.18118,0.58706,1.02548,0.0019076,0.0019076,0.0019076
16,170.836,1.09853,0.75323,0.4037,0.77466,1.12576,0.97867,0.84375,0.87673,0.62653,0.9749,0.89844,0.94289,0.89258,1.08861,0.77131,0.14418,0.62028,1.05168,0.001901,0.001901,0.001901
17,181.734,1.09374,0.72562,0.38898,0.76634,1.09528,0.94639,0.82743,0.84786,0.60532,0.96425,0.84285,0.93157,0.84958,1.135,0.72724,0.1538,0.69907,1.08595,0.0018944,0.0018944,0.0018944
18,192.853,1.06905,0.725,0.37413,0.74536,1.09519,0.91391,0.82936,0.84999,0.62712,0.93193,0.85569,0.89469,0.84917,1.04916,0.8652,0.14807,0.66365,1.03061,0.0018878,0.0018878,0.0018878
19,201.424,1.07785,0.64426,0.36876,0.74989,1.10202,0.99082,0.84331,0.8802,0.63479,0.96559,0.87694,0.9444,0.89805,1.09134,0.67986,0.14622,0.60387,1.03866,0.0018812,0.0018812,0.0018812
20,212.073,1.09939,0.6839,0.35575,0.75971,1.08971,0.97221,0.83594,0.88838,0.62044,0.96539,0.8717,0.95287,0.91592,1.14595,0.64401,0.14945,0.67061,1.04803,0.0018746,0.0018746,0.0018746
21,224.595,1.05601,0.69576,0.35142,0.74776,1.08565,0.9882,0.83594,0.87493,0.63928,0.94395,0.92099,0.9597,0.92524,0.98398,0.64194,0.14331,0.60815,1.00269,0.001868,0.001868,0.001868
22,235.431,1.06782,0.66064,0.34386,0.72531,1.10701,0.98155,0.83121,0.86618,0.66273,0.98339,0.92486,0.95762,0.91449,0.98586,0.68286,0.12452,0.58173,0.9947,0.0018614,0.0018614,0.0018614
23,244.933,1.05225,0.61835,0.32723,0.7497,1.10647,0.99236,0.82031,0.88475,0.65462,0.97101,0.89062,0.94593,0.90504,0.95606,0.61204,0.12381,0.59412,0.99568,0.0018548,0.0018548,0.0018548
24,255.268,1.07995,0.62185,0.31947,0.71185,1.09896,0.98834,0.83594,0.8808,0.67497,0.92291,0.93528,0.95414,0.91576,0.93608,0.59565,0.11477,0.60108,0.99039,0.0018482,0.0018482,0.0018482
25,264.985,1.04279,0.61415,0.29523,0.70172,1.07127,0.98176,0.84121,0.87893,0.67216,0.95792,0.90625,0.95367,0.922,0.95024,0.56535,0.10762,0.52598,1.00158,0.0018416,0.0018416,0.0018416
26,275.133,1.04879,0.635,0.29052,0.71466,1.10144,0.97252,0.82953,0.87354,0.64726,0.95855,0.90341,0.9541,0.90849,1.00902,0.68661,0.08217,0.58727,1.00761,0.001835,0.001835,0.001835
