epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,713.487,0.82201,0.36264,0.10741,0.5609,0.99513,0.9638,0.83902,0.90268,0.75106,0.9551,0.93397,0.95846,0.91628,0.7537,0.39674,0.05148,0.45218,0.93718,0.000654971,0.000654971,0.000654971
2,727.285,0.83238,0.37552,0.11097,0.57005,1.00588,0.95105,0.85307,0.90923,0.75349,0.99462,0.90139,0.94926,0.92347,0.73199,0.37416,0.04627,0.46506,0.93779,0.0013151,0.0013151,0.0013151
3,741.646,0.85494,0.3876,0.10332,0.57578,0.99836,0.94533,0.84347,0.9075,0.74591,0.95593,0.90244,0.94769,0.91292,0.7594,0.4376,0.04524,0.45718,0.93292,0.00196862,0.00196862,0.00196862
4,755.768,0.83435,0.39558,0.10832,0.59585,1.00298,0.95023,0.83823,0.90228,0.75374,0.97193,0.9122,0.94927,0.91217,0.71293,0.42821,0.04894,0.47785,0.93617,0.0019703,0.0019703,0.0019703
5,770.083,0.84388,0.36674,0.10677,0.5968,0.99706,0.93394,0.84878,0.90541,0.73958,0.96129,0.92195,0.95308,0.91505,0.74916,0.41957,0.05873,0.47217,0.9244,0.0019604,0.0019604,0.0019604
6,784.404,0.84409,0.36859,0.09868,0.56402,1.00241,0.95772,0.8439,0.89795,0.74148,0.98919,0.89249,0.9536,0.91903,0.76762,0.34523,0.06204,0.47052,0.94857,0.0019505,0.0019505,0.0019505
7,798.885,0.84361,0.38296,0.11249,0.58461,1.00269,0.9507,0.84878,0.90203,0.72535,0.9781,0.87128,0.95246,0.89333,0.84243,0.46099,0.06516,0.50013,0.9584,0.0019406,0.0019406,0.0019406
8,813.226,0.85604,0.36992,0.11719,0.58558,1.01158,0.94072,0.87317,0.91394,0.75013,0.95338,0.89786,0.95456,0.91948,0.72419,0.35729,0.06909,0.46605,0.91653,0.0019307,0.0019307,0.0019307
9,827.253,0.84567,0.36814,0.1149,0.5806,0.99658,0.95163,0.85366,0.90937,0.75506,0.97199,0.90244,0.94949,0.92323,0.70973,0.35,0.06191,0.44849,0.90229,0.0019208,0.0019208,0.0019208
10,841.802,0.83083,0.3543,0.1071,0.57817,0.98914,0.93071,0.85182,0.91057,0.75315,0.97362,0.89756,0.94632,0.904,0.74352,0.46862,0.06347,0.47161,0.93372,0.0019109,0.0019109,0.0019109
11,856.134,0.83303,0.37522,0.10277,0.57746,0.98439,0.98419,0.81951,0.91837,0.74147,0.96348,0.90083,0.95631,0.92131,0.79184,0.35187,0.04611,0.50088,0.95937,0.001901,0.001901,0.001901
12,869.243,0.84088,0.36288,0.10459,0.58259,1.00128,0.91445,0.85854,0.91024,0.74302,0.96282,0.90244,0.95281,0.92276,0.77571,0.33337,0.05706,0.48711,0.93467,0.0018911,0.0018911,0.0018911
13,881.965,0.83292,0.35546,0.1045,0.58308,0.99217,0.98167,0.82439,0.91318,0.75665,0.97888,0.90452,0.95598,0.91899,0.7503,0.35499,0.04265,0.44286,0.92144,0.0018812,0.0018812,0.0018812
14,896.068,0.82959,0.37986,0.09972,0.56634,0.99379,0.95868,0.8439,0.90719,0.73416,0.95943,0.92683,0.95152,0.92097,0.81847,0.38717,0.04611,0.4695,0.94984,0.0018713,0.0018713,0.0018713
15,910.438,0.85548,0.37105,0.10552,0.59224,1.00154,0.93039,0.86829,0.91296,0.75335,0.97602,0.91707,0.95039,0.92381,0.73397,0.31699,0.04558,0.43412,0.91253,0.0018614,0.0018614,0.0018614
16,924.737,0.81832,0.33523,0.10455,0.55834,0.9916,0.94635,0.83902,0.90918,0.75893,0.95928,0.91928,0.94902,0.91342,0.71062,0.37863,0.05538,0.46124,0.92713,0.0018515,0.0018515,0.0018515
17,939.241,0.81951,0.33658,0.10307,0.55025,0.98696,0.95894,0.83902,0.90328,0.73472,0.94437,0.91093,0.94764,0.91077,0.80132,0.39398,0.04975,0.46704,0.95447,0.0018416,0.0018416,0.0018416
18,953.913,0.82629,0.33464,0.10286,0.55961,0.98696,0.97515,0.82439,0.9053,0.75277,0.9593,0.91989,0.94858,0.92248,0.73531,0.35529,0.05768,0.45523,0.91366,0.0018317,0.0018317,0.0018317
19,968.264,0.823,0.33081,0.09686,0.56522,0.98392,0.92169,0.85854,0.91641,0.74451,0.95015,0.90732,0.9481,0.91691,0.795,0.34723,0.04578,0.46925,0.94156,0.0018218,0.0018218,0.0018218
