epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,665.34,1.62713,5.34143,0.65954,1.75071,1.38729,0.83279,0.77073,0.77753,0.48894,0.59177,0.52683,0.39528,0.07601,1.46572,4.93677,0.56081,1.41309,1.31182,0.000654971,0.000654971,0.000654971
2,679.929,1.40606,2.44959,0.61269,1.09602,1.25017,0.91627,0.72195,0.79534,0.55394,0.85758,0.79311,0.84454,0.62565,1.18871,2.18071,0.45866,1.18245,1.15294,0.00131902,0.00131902,0.00131902
3,694.991,1.34153,1.75277,0.56842,1.04491,1.21476,0.91006,0.78979,0.8199,0.47906,0.9141,0.83061,0.88212,0.62404,1.53427,1.76842,0.37239,1.12657,1.34099,0.00198043,0.00198043,0.00198043
4,709.5,1.29489,1.48565,0.5504,1.01982,1.21098,0.87373,0.74259,0.76457,0.51659,0.892,0.80577,0.86029,0.66793,1.26589,1.36847,0.34275,0.97632,1.21159,0.00198812,0.00198812,0.00198812
5,724.715,1.25552,1.19273,0.52095,0.94428,1.18935,0.8904,0.75301,0.82415,0.51714,0.90934,0.83173,0.88499,0.68695,1.34679,1.56287,0.31353,0.79856,1.18799,0.00198416,0.00198416,0.00198416
6,739.873,1.23708,1.09299,0.50526,0.91984,1.17764,0.8528,0.79024,0.78841,0.47438,0.89235,0.82927,0.85964,0.70807,1.57808,1.17954,0.27296,1.19474,1.31316,0.0019802,0.0019802,0.0019802
7,754.828,1.23755,1.06096,0.49567,0.95224,1.18267,0.92149,0.80976,0.85558,0.59493,0.93834,0.82439,0.90097,0.75688,1.21081,1.06922,0.24974,0.83295,1.18073,0.00197624,0.00197624,0.00197624
8,769.655,1.2367,1.00071,0.45901,0.924,1.1941,0.94359,0.80976,0.86485,0.58412,0.9355,0.84906,0.90784,0.82319,1.21055,0.86002,0.24663,0.7305,1.0868,0.00197228,0.00197228,0.00197228
9,785.226,1.17821,0.94438,0.45616,0.88477,1.15517,0.90392,0.80488,0.85039,0.60685,0.90668,0.85854,0.90568,0.80596,1.16738,0.77754,0.22147,0.7546,1.07471,0.00196832,0.00196832,0.00196832
10,800.012,1.19159,0.87259,0.44313,0.87175,1.16149,0.94332,0.79024,0.84068,0.58749,0.94915,0.79512,0.88371,0.7732,1.23491,0.86972,0.20454,0.73396,1.15467,0.00196436,0.00196436,0.00196436
11,814.152,1.17605,0.87709,0.41323,0.86269,1.15466,0.96606,0.8,0.86174,0.59146,0.95875,0.85854,0.92877,0.81591,1.18447,0.95272,0.21462,0.70341,1.07556,0.0019604,0.0019604,0.0019604
12,828.369,1.14817,0.82923,0.40748,0.84104,1.14336,0.96002,0.81996,0.88733,0.63241,0.98293,0.8439,0.93533,0.85495,1.11722,0.78329,0.18431,0.67172,1.07587,0.00195644,0.00195644,0.00195644
13,843.334,1.17346,0.83485,0.39471,0.85271,1.14623,0.93065,0.81463,0.86695,0.62333,0.94601,0.85366,0.93028,0.82944,1.09299,0.82633,0.19355,0.67015,1.05624,0.00195248,0.00195248,0.00195248
14,858.031,1.12171,0.78808,0.38227,0.8055,1.13194,0.90519,0.79024,0.82544,0.61884,0.8963,0.85854,0.91138,0.79941,1.13828,0.82717,0.17932,0.91732,1.06591,0.00194852,0.00194852,0.00194852
15,873.028,1.14214,0.74888,0.38129,0.81814,1.13249,0.96148,0.80976,0.86943,0.57171,0.93216,0.87142,0.92569,0.84085,1.37487,0.73352,0.15868,0.70959,1.17488,0.00194456,0.00194456,0.00194456
16,887.48,1.1039,0.70383,0.36218,0.77691,1.13188,0.9208,0.82439,0.86603,0.6367,0.95689,0.86631,0.92317,0.83255,1.07047,0.78799,0.14619,0.64807,1.0613,0.0019406,0.0019406,0.0019406
17,901.778,1.09402,0.69582,0.33436,0.76477,1.11662,0.9504,0.81463,0.86921,0.54442,0.96103,0.86829,0.9309,0.86825,1.41506,0.67846,0.1376,0.72904,1.18271,0.00193664,0.00193664,0.00193664
18,916.347,1.09407,0.68225,0.33772,0.78083,1.11718,0.95405,0.81026,0.87151,0.61375,0.95587,0.84878,0.92888,0.86012,1.19781,0.67889,0.15079,0.65777,1.0885,0.00193268,0.00193268,0.00193268
19,931.321,1.10945,0.67036,0.32262,0.78557,1.11803,0.96044,0.8291,0.86961,0.6414,0.97267,0.86803,0.93838,0.87466,1.08853,0.64374,0.14282,0.66039,1.05088,0.00192872,0.00192872,0.00192872
20,946.767,1.07597,0.6615,0.30921,0.7551,1.11558,0.97523,0.82439,0.87097,0.63574,0.9836,0.83415,0.93317,0.86748,1.08933,0.60653,0.10365,0.65008,1.04256,0.00192476,0.00192476,0.00192476
