epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,22.2422,1.60054,6.22903,0.70424,1.88819,1.38766,0.8589,0.84756,0.86787,0.54934,0.01856,0.01829,0.00044,5e-05,1.14375,6.74325,0.67692,1.79402,1.07187,0.00038,0.00038,0.00038
2,41.257,1.21802,2.92526,0.6274,0.93016,1.15842,0.75267,0.82317,0.8091,0.52543,0.60592,0.65854,0.63746,0.31952,1.23496,4.11671,0.59977,2.6932,1.17159,0.000772278,0.000772278,0.000772278
3,61.0861,1.17392,1.99286,0.58436,0.87874,1.11063,0.77575,0.64024,0.69876,0.43211,0.753,0.61585,0.58785,0.25293,1.42392,4.31384,0.56921,1.51931,1.22264,0.00115664,0.00115664,0.00115664
4,78.4163,1.21233,1.76481,0.56319,0.90662,1.13369,0.71956,0.64634,0.7202,0.4604,0.70613,0.57142,0.60331,0.35293,1.46339,4.18133,0.52357,1.30637,1.27702,0.00153307,0.00153307,0.00153307
5,101.297,1.20279,1.50004,0.5374,0.88326,1.12769,0.80211,0.83537,0.84588,0.5508,0.82134,0.86902,0.86727,0.57311,1.19213,1.66293,0.3516,1.44847,1.15164,0.00190159,0.00190159,0.00190159
6,127.554,1.12455,1.35706,0.53183,0.81371,1.10629,0.84122,0.80488,0.81888,0.51722,0.85396,0.81707,0.85256,0.59696,1.36548,1.68247,0.33371,1.28119,1.20272,0.001901,0.001901,0.001901
7,160.569,1.11736,1.19689,0.50209,0.81801,1.08327,0.94205,0.84756,0.88217,0.49848,0.9118,0.88255,0.9059,0.67592,1.43514,1.16445,0.29,1.17277,1.25768,0.0018812,0.0018812,0.0018812
8,187.81,1.11481,1.08203,0.49139,0.80804,1.07613,0.87315,0.87195,0.88697,0.58402,0.87926,0.87805,0.90894,0.71605,1.22749,1.13047,0.28603,0.9171,1.11015,0.0018614,0.0018614,0.0018614
9,210.767,1.11033,0.93061,0.48279,0.76642,1.09056,0.92724,0.85482,0.89868,0.63888,0.94132,0.88032,0.93013,0.81958,1.09884,0.92911,0.27014,0.83026,1.05667,0.0018416,0.0018416,0.0018416
10,232.385,1.07728,0.97466,0.4787,0.7712,1.08681,0.9431,0.85976,0.90539,0.63934,0.96979,0.89634,0.94487,0.86811,1.09972,0.82319,0.25183,0.70597,1.04141,0.0018218,0.0018218,0.0018218
11,254.817,1.06746,0.92617,0.45754,0.73237,1.09559,0.9299,0.87195,0.90411,0.61184,0.94854,0.89909,0.9398,0.80255,1.16798,0.96849,0.24337,0.73666,1.05578,0.001802,0.001802,0.001802
12,278.278,1.06818,0.89748,0.43252,0.73175,1.09463,0.93276,0.84583,0.88565,0.58438,0.93206,0.9202,0.93491,0.8406,1.22206,0.98621,0.28769,0.72592,1.11639,0.0017822,0.0017822,0.0017822
13,305.019,1.08197,0.91134,0.42686,0.73994,1.08259,0.97042,0.85976,0.89637,0.60938,0.94455,0.93488,0.94973,0.85425,1.22311,1.01858,0.24647,0.74514,1.11697,0.0017624,0.0017624,0.0017624
14,325.918,1.07847,0.85997,0.4356,0.76249,1.09683,0.89479,0.88161,0.89756,0.67354,0.92573,0.9121,0.9497,0.87555,1.04311,0.801,0.21643,0.66744,1.00793,0.0017426,0.0017426,0.0017426
15,345.725,1.01028,0.79865,0.4056,0.71542,1.05754,0.96004,0.87894,0.90789,0.64724,0.94293,0.90667,0.9617,0.85468,1.13258,0.72714,0.2122,0.7014,1.05101,0.0017228,0.0017228,0.0017228
16,368.631,1.01309,0.71566,0.36799,0.70168,1.05703,0.9707,0.85976,0.91646,0.6364,0.93351,0.89024,0.95728,0.88152,1.13363,0.63446,0.20301,0.62506,1.04601,0.001703,0.001703,0.001703
17,387.078,0.97858,0.66646,0.37653,0.68759,1.05221,0.97317,0.86585,0.90064,0.59354,0.96196,0.92509,0.95932,0.85952,1.27105,0.84688,0.19279,0.66448,1.09247,0.0016832,0.0016832,0.0016832
18,410.251,1.00276,0.71037,0.36084,0.69171,1.0549,0.96404,0.86585,0.90371,0.63466,0.96154,0.93293,0.95555,0.88525,1.16414,0.70023,0.17759,0.65194,1.05225,0.0016634,0.0016634,0.0016634
19,432.165,0.98757,0.68669,0.35302,0.69389,1.06835,0.95912,0.85846,0.90278,0.62857,0.97955,0.91463,0.9581,0.88706,1.20862,0.6447,0.18339,0.6502,1.04958,0.0016436,0.0016436,0.0016436
20,457.694,0.98491,0.67643,0.32999,0.65969,1.0494,0.96529,0.84783,0.91245,0.6204,0.93785,0.92683,0.95365,0.88916,1.169,0.71271,0.19553,0.67322,1.03595,0.0016238,0.0016238,0.0016238
21,480.563,0.97051,0.64863,0.31673,0.67522,1.04557,0.92304,0.87761,0.89995,0.62127,0.96151,0.91389,0.95592,0.89286,1.19158,0.73508,0.14,0.71596,1.07173,0.001604,0.001604,0.001604
22,505.698,0.95093,0.63709,0.32182,0.63511,1.03399,0.95204,0.85976,0.90815,0.65217,0.94234,0.92073,0.96086,0.9089,1.10063,0.73186,0.16303,0.59389,1.01815,0.0015842,0.0015842,0.0015842
23,529.147,0.95854,0.631,0.30284,0.64728,1.03137,0.95307,0.86676,0.91089,0.66883,0.95867,0.90854,0.95882,0.9134,1.03866,0.61189,0.14793,0.54098,1.02026,0.0015644,0.0015644,0.0015644
24,554.636,0.92699,0.56665,0.29014,0.61945,1.01224,0.93868,0.89634,0.92405,0.69669,0.96721,0.92073,0.96619,0.91681,0.92717,0.60061,0.14879,0.54317,0.976,0.0015446,0.0015446,0.0015446
25,578.375,0.9508,0.63358,0.27759,0.64224,1.04342,0.9786,0.87195,0.9183,0.64212,0.96501,0.91463,0.95848,0.91156,1.12317,0.62699,0.13608,0.5972,1.01848,0.0015248,0.0015248,0.0015248
26,601.552,0.95435,0.61141,0.27321,0.64942,1.03015,0.98948,0.86585,0.90982,0.67731,0.97325,0.8873,0.95918,0.91388,1.03546,0.58836,0.13501,0.58794,0.98401,0.001505,0.001505,0.001505
27,625.883,0.96401,0.61402,0.26462,0.66221,1.03199,0.98096,0.85366,0.91605,0.67883,0.93309,0.93902,0.96293,0.91378,0.97254,0.63108,0.12223,0.58391,0.96243,0.0014852,0.0014852,0.0014852
28,648.763,0.91876,0.55521,0.25335,0.60991,1.00458,0.94406,0.87195,0.91088,0.65354,0.95054,0.93293,0.96487,0.91291,1.05978,0.65516,0.14429,0.55859,0.99664,0.0014654,0.0014654,0.0014654
29,676.181,0.90649,0.50195,0.23641,0.60527,1.01092,0.95403,0.85976,0.9171,0.67385,0.95601,0.92765,0.96808,0.91867,1.01214,0.56851,0.10342,0.55375,0.98348,0.0014456,0.0014456,0.0014456
30,701.571,0.92138,0.54286,0.23087,0.63362,1.01523,1,0.85796,0.92281,0.64722,0.97831,0.91463,0.96139,0.92723,1.10871,0.55774,0.10075,0.57207,1.00698,0.0014258,0.0014258,0.0014258
31,729.156,0.88362,0.49419,0.22938,0.58534,1.01991,0.91733,0.8796,0.91526,0.6355,0.95549,0.91618,0.9637,0.9222,1.13856,0.58752,0.12222,0.59373,1.01793,0.001406,0.001406,0.001406
32,753.869,0.90131,0.51504,0.23264,0.59327,1.02363,0.95276,0.87805,0.91315,0.6613,0.9817,0.90854,0.95912,0.91187,1.00715,0.54707,0.10387,0.57629,0.97178,0.0013862,0.0013862,0.0013862
33,778.469,0.93426,0.50767,0.21675,0.62251,1.03496,0.98225,0.85976,0.91466,0.68618,0.97432,0.92525,0.96125,0.9229,0.99749,0.54779,0.09227,0.59192,0.97735,0.0013664,0.0013664,0.0013664
34,802.772,0.92144,0.51263,0.21433,0.6189,1.0149,0.92891,0.87644,0.91468,0.69921,0.97419,0.92058,0.96314,0.92267,0.95334,0.55518,0.10016,0.57769,0.95606,0.0013466,0.0013466,0.0013466
35,826.378,0.90662,0.47498,0.21749,0.61223,1.00497,0.93616,0.89413,0.92566,0.67103,0.96402,0.92073,0.96639,0.91933,1.00393,0.47989,0.08388,0.54703,0.99748,0.0013268,0.0013268,0.0013268
36,852.518,0.9025,0.51009,0.2038,0.6104,1.01431,0.97028,0.86585,0.91929,0.69005,0.96644,0.91463,0.96614,0.92273,0.98783,0.56771,0.11285,0.5353,0.97541,0.001307,0.001307,0.001307
37,879.165,0.91532,0.54505,0.21208,0.61687,1.0203,0.94182,0.88415,0.92597,0.68329,0.93928,0.94512,0.96587,0.93375,1.00196,0.47612,0.09017,0.51104,0.96904,0.0012872,0.0012872,0.0012872
38,904.2,0.90134,0.49728,0.19544,0.60291,1.00502,0.97989,0.85976,0.91742,0.6844,0.96357,0.92073,0.96584,0.9308,0.9506,0.49059,0.08997,0.53737,0.96091,0.0012674,0.0012674,0.0012674
39,928.014,0.88003,0.4052,0.20793,0.56713,1.01325,0.97431,0.85366,0.92109,0.64106,0.9508,0.91463,0.96632,0.93097,1.16907,0.56982,0.09346,0.58069,1.06998,0.0012476,0.0012476,0.0012476
40,953.015,0.88108,0.49366,0.19993,0.57393,1.00596,0.98508,0.85366,0.91881,0.67966,0.95189,0.91463,0.96525,0.93498,0.94642,0.49965,0.08006,0.52045,0.94338,0.0012278,0.0012278,0.0012278
41,980.921,0.8811,0.51117,0.20625,0.57749,1.00921,0.993,0.86455,0.92271,0.69174,0.9705,0.92073,0.96617,0.93383,0.94179,0.46048,0.08247,0.52095,0.95672,0.001208,0.001208,0.001208
42,1003.65,0.8648,0.43045,0.19012,0.56868,1.00566,0.9744,0.86585,0.92866,0.70055,0.9739,0.91002,0.96554,0.93935,0.99933,0.43851,0.08743,0.52259,0.97315,0.0011882,0.0011882,0.0011882
43,1026.99,0.85565,0.41774,0.1911,0.56044,0.99947,0.9664,0.87681,0.9284,0.68931,0.97412,0.918,0.96464,0.93874,0.95972,0.43559,0.07921,0.52002,0.95095,0.0011684,0.0011684,0.0011684
44,1044.15,0.83486,0.4855,0.1854,0.5624,0.98975,0.96984,0.87805,0.92778,0.64551,0.97381,0.90685,0.96556,0.92814,1.12866,0.47287,0.07651,0.55518,1.01087,0.0011486,0.0011486,0.0011486
45,1063.44,0.85119,0.39425,0.16607,0.55721,0.99112,0.98601,0.85965,0.91662,0.7045,0.98395,0.90854,0.95668,0.92802,0.88768,0.49806,0.07617,0.4968,0.92908,0.0011288,0.0011288,0.0011288
46,1084.39,0.84878,0.42636,0.16797,0.54815,0.97123,0.99301,0.86672,0.90934,0.68824,0.9682,0.89634,0.95602,0.92964,0.98378,0.40393,0.07657,0.54819,0.95844,0.001109,0.001109,0.001109
47,1107.01,0.85222,0.41353,0.16995,0.56563,1.00085,0.99332,0.85366,0.91653,0.69475,0.97973,0.8843,0.96145,0.9205,0.92587,0.45577,0.07894,0.50684,0.94239,0.0010892,0.0010892,0.0010892
48,1128.71,0.85003,0.43414,0.17094,0.56192,1.00174,0.97956,0.88415,0.91988,0.69469,0.96767,0.93293,0.97044,0.9412,0.99535,0.46175,0.07372,0.48279,0.95704,0.0010694,0.0010694,0.0010694
49,1151.86,0.83669,0.3988,0.17017,0.55594,0.97898,0.97547,0.88415,0.92932,0.70116,0.95539,0.91409,0.96394,0.93532,0.93237,0.41877,0.07441,0.48663,0.95022,0.0010496,0.0010496,0.0010496
50,1173.34,0.81662,0.42053,0.16274,0.53823,0.9726,0.9666,0.88246,0.92376,0.68051,0.97894,0.92683,0.9593,0.92965,1.01771,0.49607,0.07491,0.49705,0.97544,0.0010298,0.0010298,0.0010298
51,1199.5,0.82146,0.37531,0.1602,0.55142,0.99762,0.99867,0.84756,0.92284,0.66907,0.96084,0.93293,0.96629,0.93187,1.02233,0.51449,0.07602,0.50662,0.9723,0.00101,0.00101,0.00101
52,1222.84,0.83772,0.38326,0.16695,0.55081,1.00262,0.97274,0.87027,0.92197,0.70635,0.95509,0.90779,0.96403,0.93744,0.92264,0.42632,0.08296,0.50104,0.94427,0.0009902,0.0009902,0.0009902
53,1244.24,0.82319,0.36085,0.16111,0.55342,0.98558,0.98186,0.87805,0.9206,0.70256,0.98764,0.89024,0.96708,0.93019,0.92274,0.45723,0.07112,0.48735,0.94635,0.0009704,0.0009704,0.0009704
54,1266.71,0.86481,0.43028,0.15725,0.54821,1.00891,0.97897,0.86585,0.92086,0.70872,0.96521,0.93293,0.96895,0.94142,0.92643,0.3872,0.0664,0.49363,0.94311,0.0009506,0.0009506,0.0009506
55,1292.07,0.81484,0.35942,0.15657,0.53909,0.98463,0.99067,0.87195,0.9266,0.71449,0.97409,0.91712,0.9684,0.93849,0.92921,0.37705,0.07349,0.48348,0.94698,0.0009308,0.0009308,0.0009308
56,1310.8,0.8196,0.40281,0.15078,0.52738,0.98469,0.9859,0.89024,0.92012,0.70069,0.97429,0.92432,0.96699,0.93686,0.95931,0.44575,0.07285,0.48264,0.96057,0.000911,0.000911,0.000911
57,1334.31,0.8399,0.41772,0.15271,0.54158,0.99622,0.98115,0.85976,0.92435,0.68082,0.95033,0.93293,0.96225,0.93706,0.98561,0.40006,0.06515,0.49656,0.95566,0.0008912,0.0008912,0.0008912
