Gate,x,y,z,theta,width,height
1,-0.32830357551574707,-0.2587771713733673,1.1850725412368774,-0.4465414881706238,0.5,0.5
2,0.9921415448188782,-0.99828040599823,1.208378553390503,0.3893326222896576,0.5,0.5
3,2.3412134647369385,-1.0057225227355957,1.4003559350967407,1.664291262626648,0.5,0.5
4,2.533642292022705,0.5433558225631714,1.4052654504776,3.046278953552246,0.5,0.5
5,1.3165185451507568,1.056453824043274,1.320923924446106,-2.683692455291748,0.5,0.5
eck1,-0.5188902616500854,-1.008768081665039,1.2643846273422241,-0.13707119226455688,0.5,0.5
7,2.8736283779144287,-1.2876970767974854,1.3116732835769653,1.5812265872955322,0.5,0.5
8,2.899963855743408,1.162764549255371,1.3172138929367065,-3.064547300338745,0.5,0.5
9,-0.7796356678009033,1.1909575462341309,1.2309315204620361,-1.384749412536621,0.5,0.5
mitte,1.0988438129425049,0.00271486840210855,0.803472638130188,1.5299159288406372,0.5,0.5
